N,P,K,temperature,humidity,ph,rainfall,label
110.81154090389221,13.178826164028173,50.97793282652881,29.464654712790715,92.80362427816975,6.375088025665545,25.392108022955707,muskmelon
106.57120751217634,13.12045283300319,48.21530160976645,25.042259262051047,93.36125416118524,6.200231822522387,49.45381996238703,watermelon
46.438420705503475,17.23689788603891,48.41637978587711,34.07593425889895,93.19834155064177,7.190513132920705,146.025808212133,papaya
45.566188838752645,19.088772856873998,51.58423125877974,33.78811377370235,92.70943575562193,6.536585733421827,157.95299981463316,papaya
29.950563387560393,140.6135574302415,212.26365084820875,24.644228656084035,94.0738748511257,6.4114278510383755,121.057719095447,apple
15.52214955082343,15.926278087419735,29.23435349693822,36.52622259891944,54.15646387095829,5.5690150182223395,94.00965379760062,mango
21.848190008964725,135.3068517954691,198.77115142887283,23.87813815584692,93.00003553675693,7.362899514757004,126.55282048767138,apple
23.675978655731925,60.167445531970856,94.84494414626498,35.543610687316495,62.04358390014901,5.997099075395003,51.9079728684014,mothbeans
34.48214477635076,40.489668829352205,25.556049294656525,34.90145614055763,82.42625368525623,6.474238572225339,69.40579648741618,mungbean
28.43508127063864,68.11802578507945,29.28445196648447,21.12742156700327,71.68035044093428,7.828121160652903,27.615059493892574,lentil
41.51389619475169,78.75674119858996,25.81671194683762,31.81816725646319,64.02408996251745,6.2684160064089856,70.86155890241328,blackgram
21.7113350265602,9.512329129405622,35.146532960655584,27.483160976448435,96.68734660112679,7.330178297141864,169.86102017624466,coconut
22.24242575726899,24.622138556176058,199.1751097799814,21.894582070581194,91.05917230729256,6.527010288469556,115.1710838842917,pomegranate
69.62030053955763,55.37638025020197,40.222276435962556,29.229745161929404,83.94336257201395,7.937802678369124,177.56793107125628,jute
16.761808270825043,13.145517019441572,29.62859124888989,34.30688711487028,93.5476892658616,5.6251313200047415,164.92392379000174,coconut
17.29731526612794,19.525083985945287,202.05468808520675,18.70875735968714,94.7215486975957,7.15726743612832,113.80662522712389,pomegranate
23.890302595388576,132.4759580749035,210.70277178184472,23.46985777432679,93.50752671895206,7.337575952133599,123.19345412823725,apple
84.78277025241248,52.439379284192455,67.04764635860533,24.78844363444103,71.39617716476047,6.289090790329031,109.83386057595767,maize
52.374009455193814,22.003029571437157,51.91365989288994,34.300765253711056,,6.668341711527198,159.29009752193,papaya
,16.050075319221165,50.03156008956516,29.23015026661173,93.51604599646713,6.1321073614947,20.265698933642238,muskmelon
101.67840727216407,29.404211114093435,30.685083654470503,24.908647385077444,66.46052183649499,6.055556169215654,194.66486559060883,coffee
53.93670381221652,15.604273356881592,45.866960439018456,33.216019513505955,94.99484495878842,7.414389502500602,151.69597910492462,papaya
23.609196124543253,15.15687527283304,16.984836357454768,13.167434814407208,90.37911605071206,7.447222155626108,115.41883364278638,orange
,16.28190699754844,51.48872191154762,33.83099576684838,92.44488064786988,6.677982789324283,155.07569928664384,papaya
59.44692495867196,83.05785375260567,93.43795012998402,19.99297828622071,16.691347073828556,6.423544326932621,83.60005564180359,chickpea
71.45110411502124,48.738762603903574,43.98381334983118,35.56146825175218,85.12938097800676,7.291425227762402,189.75328534431273,jute
31.351005730963834,43.71048379263814,25.184784913724055,25.711688225478937,89.75894592281324,6.884526978585812,50.45188703435778,mungbean
16.26581965135789,19.074506611171284,11.063911392499486,10.366907104621438,93.02151714713725,7.0033995320407,101.54199337902611,orange
22.851357717673388,78.14394746673224,28.169863214890565,33.125077690501655,80.31797792488842,5.503421283498865,175.29877519555663,pigeonpeas
85.75590010205003,40.27872575416403,44.593120599977105,20.922755524505646,86.77658673612858,5.621832504628531,250.63299316206331,rice
17.044221378902094,19.99575378358439,205.42974225638372,18.97097606901623,93.6126441116662,6.6333007462703595,113.86195557693422,pomegranate
